type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added
TV Show,3%,Unknown,Brazil,2020-08-14,2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2020,August
Movie,7:19,Jorge Michel Grau,Mexico,2016-12-23,2016,TV-MA,93 min,"Dramas, International Movies",2016,December
Movie,23:59,Gilbert Chan,Singapore,2018-12-20,2011,R,78 min,"Horror Movies, International Movies",2018,December
Movie,9,Shane Acker,United States,2017-11-16,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",2017,November
Movie,21,Robert Luketic,United States,2020-01-01,2008,PG-13,123 min,Dramas,2020,January
TV Show,46,Serdar Akar,Turkey,2017-07-01,2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",2017,July
Movie,122,Yasir Al Yasiri,Egypt,2020-06-01,2019,TV-MA,95 min,"Horror Movies, International Movies",2020,June
Movie,187,Kevin Reynolds,United States,2019-11-01,1997,R,119 min,Dramas,2019,November
Movie,706,Shravan Kumar,India,2019-04-01,2019,TV-14,118 min,"Horror Movies, International Movies",2019,April
Movie,1920,Vikram Bhatt,India,2017-12-15,2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",2017,December
Movie,1922,Zak Hilditch,United States,2017-10-20,2017,TV-MA,103 min,"Dramas, Thrillers",2017,October
TV Show,1983,Unknown,"Poland, United States",2018-11-30,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2018,November
TV Show,1994,Diego Enrique Osorno,Mexico,2019-05-17,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",2019,May
Movie,"2,215",Nottapon Boonprakob,Thailand,2019-03-01,2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies",2019,March
Movie,3022,John Suits,United States,2020-03-19,2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers",2020,March
Movie,Oct-01,Kunle Afolayan,Nigeria,2019-09-01,2014,TV-14,149 min,"Dramas, International Movies, Thrillers",2019,September
